nom_commune_postal,latitude,longitude,code_postal,code_commune_INSEE,nom_departement,nom_département
ABBECOURT,49.5991518653,3.17708232927,02300,02001,Aisne,Aisne
ACHERY,49.6936187791,3.39735632148,02800,02002,Aisne,Aisne
ACY,49.3471963534,3.41817609834,02200,02003,Aisne,Aisne
AGNICOURT ET SECHELLES,49.7166573626,3.96043211816,02340,02004,Aisne,Aisne
AGUILCOURT,49.393650796,3.96803679426,02190,02005,Aisne,Aisne
AISONVILLE ET BERNOVILLE,49.930148162,3.51120205593,02110,02006,Aisne,Aisne
AIZELLES,49.4848002918,3.81870255331,02820,02007,Aisne,Aisne
AIZY JOUY,49.4384256824,3.51149185429,02370,02008,Aisne,Aisne
AIZY JOUY,49.4384256824,3.51149185429,02370,02008,Aisne,Aisne
ALAINCOURT,49.7667120841,3.36639043616,02240,02009,Aisne,Aisne
ALLEMANT,49.4624440593,3.45394275872,02320,02010,Aisne,Aisne
AMBLENY,49.3762672939,3.18334679178,02290,02011,Aisne,Aisne
AMBRIEF,49.3215250088,3.40362196255,02200,02012,Aisne,Aisne
AMIFONTAINE,49.498787026,3.92278993322,02190,02013,Aisne,Aisne
AMIGNY ROUY,49.6108275885,3.30289341579,02700,02014,Aisne,Aisne
ANCIENVILLE,49.2186389559,3.20808809779,02600,02015,Aisne,Aisne
ANDELAIN,49.6411808161,3.3695440898,02800,02016,Aisne,Aisne
ANGUILCOURT LE SART,49.6940879195,3.42823182437,02800,02017,Aisne,Aisne
ANIZY LE CHATEAU,49.5045058305,3.43129584952,02320,02018,Aisne,Aisne
ANNOIS,49.7210674108,3.17611501401,02480,02019,Aisne,Aisne
ANY MARTIN RIEUX,49.8823706752,4.22351346907,02500,02020,Aisne,Aisne
ARCHON,49.744126618,4.11908765808,02360,02021,Aisne,Aisne
ARCY STE RESTITUE,49.2548799371,3.47829076337,02130,02022,Aisne,Aisne
ARCY STE RESTITUE,49.2548799371,3.47829076337,02130,02022,Aisne,Aisne
ARMENTIERES SUR OURCQ,49.1734232511,3.38789647903,02210,02023,Aisne,Aisne
ARRANCY,49.4989016398,3.7647230005,02860,02024,Aisne,Aisne
ARTEMPS,49.7617999337,3.19725095546,02480,02025,Aisne,Aisne
ASSIS SUR SERRE,49.6803739117,3.55491692691,02270,02027,Aisne,Aisne
ATHIES SOUS LAON,49.5757750686,3.69006632109,02840,02028,Aisne,Aisne
ATTILLY,49.8554489068,3.15363305662,02490,02029,Aisne,Aisne
AUBENCHEUL AUX BOIS,50.0239903854,3.26103215604,02420,02030,Aisne,Aisne
AUBENTON,49.8252306759,4.19066939985,02500,02031,Aisne,Aisne
AUBIGNY AUX KAISNES,49.7721524634,3.1192565988,02590,02032,Aisne,Aisne
AUBIGNY EN LAONNOIS,49.4968821185,3.79282850765,02820,02033,Aisne,Aisne
AUDIGNICOURT,49.4777157214,3.12718502825,02300,02034,Aisne,Aisne
AUDIGNY,49.8660645425,3.6312599901,02120,02035,Aisne,Aisne
AUGY,49.340063724,3.5110198819,02220,02036,Aisne,Aisne
AULNOIS SOUS LAON,49.6198117499,3.60981962105,02000,02037,Aisne,Aisne
LES AUTELS,49.7608855336,4.22422505762,02360,02038,Aisne,Aisne
AUTREMENCOURT,49.7051244442,3.79419867292,02250,02039,Aisne,Aisne
AUTREPPES,49.8969849321,3.85601033505,02580,02040,Aisne,Aisne
AUTREVILLE,49.5860875305,3.23602708427,02300,02041,Aisne,Aisne
AZY SUR MARNE,49.0039701095,3.35913214045,02400,02042,Aisne,Aisne
BAGNEUX,49.4601139731,3.27945330014,02290,02043,Aisne,Aisne
BANCIGNY,49.7978711595,4.03669866073,02140,02044,Aisne,Aisne
BARENTON BUGNY,49.6218589779,3.66103056579,02000,02046,Aisne,Aisne
BARENTON CEL,49.6477517259,3.64469997459,02000,02047,Aisne,Aisne
BARENTON SUR SERRE,49.66833977,3.68940610952,02270,02048,Aisne,Aisne
BARISIS AUX BOIS,49.577979369,3.32804487461,02700,02049,Aisne,Aisne
BARZY EN THIERACHE,50.0395375873,3.74901595409,02170,02050,Aisne,Aisne
BARZY SUR MARNE,49.0906196202,3.56214117254,02850,02051,Aisne,Aisne
BASSOLES AULERS,49.5332813699,3.38492604839,02380,02052,Aisne,Aisne
VALLEES EN CHAMPAGNE,48.9896915811,3.60486686026,02330,02053,Aisne,Aisne
VALLEES EN CHAMPAGNE,48.9896915811,3.60486686026,02330,02053,Aisne,Aisne
VALLEES EN CHAMPAGNE,48.9896915811,3.60486686026,02330,02053,Aisne,Aisne
BAZOCHES SUR VESLES,49.3070586788,3.61583126589,02220,02054,Aisne,Aisne
BEAUME,49.8211281836,4.15200066545,02500,02055,Aisne,Aisne
BEAUMONT EN BEINE,49.6874633882,3.13133369335,02300,02056,Aisne,Aisne
BEAUREVOIR,49.9965608612,3.32970842537,02110,02057,Aisne,Aisne
BEAURIEUX,49.402806797,3.75287161991,02160,02058,Aisne,Aisne
BEAUTOR,49.648319958,3.33811188104,02800,02059,Aisne,Aisne
BEAUVOIS EN VERMANDOIS,49.8339921767,3.10282045546,02590,02060,Aisne,Aisne
BECQUIGNY,50.0158703814,3.45898644538,02110,02061,Aisne,Aisne
BELLEAU,49.0829128265,3.30049173293,02400,02062,Aisne,Aisne
BELLENGLISE,49.9261057081,3.2441994692,02420,02063,Aisne,Aisne
BELLEU,49.3567574344,3.34051688283,02200,02064,Aisne,Aisne
BELLICOURT,49.9592991729,3.23020850852,02420,02065,Aisne,Aisne
BENAY,49.755094123,3.30909898139,02440,02066,Aisne,Aisne
BERGUES SUR SAMBRE,50.0294686238,3.711371001,02450,02067,Aisne,Aisne
BERLANCOURT,49.7808533631,3.75710714699,02250,02068,Aisne,Aisne
BERLISE,49.6622290606,4.11314086897,02340,02069,Aisne,Aisne
BERNOT,49.8793651304,3.48665456392,02120,02070,Aisne,Aisne
BERNY RIVIERE,49.4113288887,3.14975272702,02290,02071,Aisne,Aisne
BERRIEUX,49.4823563962,3.8521031839,02820,02072,Aisne,Aisne
BERRY AU BAC,49.4084985083,3.8985497785,02190,02073,Aisne,Aisne
BERTAUCOURT EPOURDON,49.6276056573,3.39748988886,02800,02074,Aisne,Aisne
BERTHENICOURT,49.7788058177,3.37247241058,02240,02075,Aisne,Aisne
BERTRICOURT,49.3975285682,4.01146178698,02190,02076,Aisne,Aisne
BERZY LE SEC,49.3172125296,3.29666086699,02200,02077,Aisne,Aisne
BESME,49.5341682819,3.16474171361,02300,02078,Aisne,Aisne
BESMONT,49.823361306,4.11768907822,02500,02079,Aisne,Aisne
BESNY ET LOIZY,49.5928792816,3.57657238799,02870,02080,Aisne,Aisne
BETHANCOURT EN VAUX,49.6290547772,3.14064657935,02300,02081,Aisne,Aisne
BEUGNEUX,49.2275759309,3.41647403702,02210,02082,Aisne,Aisne
BEUVARDES,49.1308547007,3.49165019107,02130,02083,Aisne,Aisne
BEZU LE GUERY,49.0102591835,3.22764610411,02310,02084,Aisne,Aisne
BEZU ST GERMAIN,49.1046732888,3.40812513224,02400,02085,Aisne,Aisne
BICHANCOURT,49.578776546,3.21263017443,02300,02086,Aisne,Aisne
BIEUXY,49.4476050585,3.26985890807,02290,02087,Aisne,Aisne
BIEVRES,49.4921822965,3.7137356904,02860,02088,Aisne,Aisne
BILLY SUR AISNE,49.3556556532,3.37609947556,02200,02089,Aisne,Aisne
BILLY SUR OURCQ,49.2215032882,3.29903267663,02210,02090,Aisne,Aisne
BLANZY LES FISMES,49.3372673738,3.671868408,02160,02091,Aisne,Aisne
BLERANCOURT,49.5076223945,3.15179502187,02300,02093,Aisne,Aisne
BLESMES,49.0264919363,3.46405474705,02400,02094,Aisne,Aisne
BOHAIN EN VERMANDOIS,49.989032874,3.46522354976,02110,02095,Aisne,Aisne
BOIS LES PARGNY,49.7369350689,3.65414834535,02270,02096,Aisne,Aisne
BONCOURT,49.6264861998,3.956447719,02350,02097,Aisne,Aisne
BONNEIL,49.0082419817,3.3459478468,02400,02098,Aisne,Aisne
BONNESVALYN,49.1264049496,3.32541661771,02400,02099,Aisne,Aisne
BONY,49.9908643724,3.22116002448,02420,02100,Aisne,Aisne
BOSMONT SUR SERRE,49.7390653213,3.86733568391,02250,02101,Aisne,Aisne
BOUCONVILLE VAUCLAIR,49.4606212957,3.75658607824,02860,02102,Aisne,Aisne
BOUE,50.0114554001,3.71432024852,02450,02103,Aisne,Aisne
BOUFFIGNEREUX,49.3788374998,3.84626014622,02160,02104,Aisne,Aisne
BOURESCHES,49.0671787396,3.31728226934,02400,02105,Aisne,Aisne
BOURG ET COMIN,49.4022354002,3.65944342757,02160,02106,Aisne,Aisne
BOURGUIGNON SOUS COUCY,49.5427641575,3.15422957657,02300,02107,Aisne,Aisne
BOURGUIGNON SOUS MONTBAVIN,49.5288056883,3.53777236106,02000,02108,Aisne,Aisne
LA BOUTEILLE,49.8778828965,3.96243530235,02140,02109,Aisne,Aisne
BRAINE,49.3484719318,3.53596629744,02220,02110,Aisne,Aisne
BRANCOURT EN LAONNOIS,49.5176286609,3.41282321335,02320,02111,Aisne,Aisne
BRANCOURT LE GRAND,49.98081057,3.39391192109,02110,02112,Aisne,Aisne
BRASLES,49.0567927241,3.42453409652,02400,02114,Aisne,Aisne
BRAYE EN LAONNOIS,49.4375773374,3.60977976284,02000,02115,Aisne,Aisne
BRAYE EN THIERACHE,49.7675470994,3.96265841899,02140,02116,Aisne,Aisne
BRAY ST CHRISTOPHE,49.7746700975,3.14070965091,02480,02117,Aisne,Aisne
BRAYE,49.4221361409,3.37829006511,02880,02118,Aisne,Aisne
BRECY,49.1398626041,3.42373097034,02210,02119,Aisne,Aisne
BRENELLE,49.3680052078,3.5442035574,02220,02120,Aisne,Aisne
BRENY,49.1842783438,3.34972495405,02210,02121,Aisne,Aisne
BRIE,49.5973962294,3.4733634659,02870,02122,Aisne,Aisne
BRISSAY CHOIGNY,49.7228299725,3.39639768252,02240,02123,Aisne,Aisne
BRISSY HAMEGICOURT,49.7432786375,3.39968837909,02240,02124,Aisne,Aisne
BRUMETZ,49.1103074474,3.15291445147,02810,02125,Aisne,Aisne
BRUNEHAMEL,49.7718100626,4.18649398572,02360,02126,Aisne,Aisne
BRUYERES SUR FERE,49.1996571467,3.44535846468,02130,02127,Aisne,Aisne
BRUYERES ET MONTBERAULT,49.5239615523,3.66954693798,02860,02128,Aisne,Aisne
BRUYS,49.2621681637,3.56863439754,02220,02129,Aisne,Aisne
BUCILLY,49.8658103548,4.09323369949,02500,02130,Aisne,Aisne
BUCY LE LONG,49.3884447185,3.39828602712,02880,02131,Aisne,Aisne
BUCY LES CERNY,49.5790852566,3.496908306,02870,02132,Aisne,Aisne
BUCY LES PIERREPONT,49.6467998089,3.90358311553,02350,02133,Aisne,Aisne
BUIRE,49.9070296259,4.05674542304,02500,02134,Aisne,Aisne
BUIRONFOSSE,49.9577111138,3.838016082,02620,02135,Aisne,Aisne
BURELLES,49.7687046874,3.91196369709,02140,02136,Aisne,Aisne
BUSSIARES,49.0765910572,3.25026191909,02810,02137,Aisne,Aisne
BUZANCY,49.3099528163,3.3478744079,02200,02138,Aisne,Aisne
CAILLOUEL CREPIGNY,49.6176055636,3.12169527347,02300,02139,Aisne,Aisne
CAMELIN,49.5205248253,3.12854853594,02300,02140,Aisne,Aisne
CAMELIN,49.5205248253,3.12854853594,02300,02140,Aisne,Aisne
LA CAPELLE,49.9732109539,3.91398483546,02260,02141,Aisne,Aisne
CASTRES,49.8013894137,3.25325245088,02680,02142,Aisne,Aisne
LE CATELET,50.0009779444,3.2423098464,02420,02143,Aisne,Aisne
CAULAINCOURT,49.864658382,3.11126489473,02490,02144,Aisne,Aisne
CAUMONT,49.6372659106,3.17347612819,02300,02145,Aisne,Aisne
CELLES LES CONDE,49.0148161041,3.57007423847,02330,02146,Aisne,Aisne
CELLES SUR AISNE,49.4159264546,3.47446927431,02370,02148,Aisne,Aisne
CERIZY,49.7670333979,3.33255021354,02240,02149,Aisne,Aisne
CERNY EN LAONNOIS,49.4500150087,3.67982439455,02860,02150,Aisne,Aisne
CERNY LES BUCY,49.5778658953,3.54646763896,02870,02151,Aisne,Aisne
CERSEUIL,49.324784775,3.51746919082,02220,02152,Aisne,Aisne
CESSIERES,49.5595788079,3.50190405701,02320,02153,Aisne,Aisne
CHACRISE,49.3002009035,3.39759102537,02200,02154,Aisne,Aisne
CHAILLEVOIS,49.5081654549,3.52234605948,02000,02155,Aisne,Aisne
CHALANDRY,49.6702675165,3.64445509533,02270,02156,Aisne,Aisne
CHAMBRY,49.5986366056,3.67200832611,02000,02157,Aisne,Aisne
CHAMOUILLE,49.4720646954,3.67062673062,02860,02158,Aisne,Aisne
CHAMPS,49.5434967943,3.2618311238,02670,02159,Aisne,Aisne
CHAOURSE,49.7007898116,3.98562292281,02340,02160,Aisne,Aisne
LA CHAPELLE SUR CHEZY,48.9492049177,3.37662807022,02570,02162,Aisne,Aisne
CHARLY SUR MARNE,48.9898678258,3.29365157876,02310,02163,Aisne,Aisne
LE CHARMEL,49.1121866037,3.54125960951,02850,02164,Aisne,Aisne
CHARMES,49.6508532429,3.38525104222,02800,02165,Aisne,Aisne
CHARTEVES,49.0898127369,3.50871838479,02400,02166,Aisne,Aisne
CHASSEMY,49.3783410842,3.50271467967,02370,02167,Aisne,Aisne
CHATEAU THIERRY,49.0564070801,3.38160004843,02400,02168,Aisne,Aisne
CHATILLON LES SONS,49.7618503091,3.70312508858,02270,02169,Aisne,Aisne
CHATILLON SUR OISE,49.7938161671,3.41630401708,02240,02170,Aisne,Aisne
CHAUDARDES,49.3962562981,3.78942153696,02160,02171,Aisne,Aisne
CHAUDUN,49.3150223009,3.25276338247,02200,02172,Aisne,Aisne
CHAUNY,49.619880673,3.21875355041,02300,02173,Aisne,Aisne
CHAVIGNON,49.4794437147,3.51936895626,02000,02174,Aisne,Aisne
CHAVIGNY,49.4232730431,3.30567490669,02880,02175,Aisne,Aisne
CHAVONNE,49.4073162185,3.56243209622,02370,02176,Aisne,Aisne
CHERET,49.5141661683,3.68718851388,02860,02177,Aisne,Aisne
CHERMIZY AILLES,49.4629888139,3.71995479046,02860,02178,Aisne,Aisne
CHERY CHARTREUVE,49.2556867214,3.60484629397,02220,02179,Aisne,Aisne
CHERY LES POUILLY,49.6488389918,3.59416271271,02000,02180,Aisne,Aisne
CHERY LES ROZOY,49.7222192886,4.1011989282,02360,02181,Aisne,Aisne
CHEVENNES,49.818366417,3.7371313317,02250,02182,Aisne,Aisne
CHEVREGNY,49.4661009452,3.59365333616,02000,02183,Aisne,Aisne
